cohort_month,activity_month,activity_sellers
2016-09,2016-09,1
2016-09,2016-10,1
2016-10,2016-10,127
2016-10,2017-01,69
2016-10,2017-02,82
2016-10,2017-03,75
2016-10,2017-04,70
2016-10,2017-05,74
2016-10,2017-06,65
2016-10,2017-07,65
2016-10,2017-08,64
2016-10,2017-09,60
2016-10,2017-10,63
2016-10,2017-11,63
2016-10,2017-12,61
2016-10,2018-01,59
2016-10,2018-02,55
2016-10,2018-03,52
2016-10,2018-04,48
2016-10,2018-05,42
2016-10,2018-06,42
2016-10,2018-07,43
2016-10,2018-08,43
2016-12,2016-12,1
2016-12,2017-01,1
2017-01,2017-01,149
2017-01,2017-02,106
2017-01,2017-03,105
2017-01,2017-04,90
2017-01,2017-05,99
2017-01,2017-06,86
2017-01,2017-07,77
2017-01,2017-08,87
2017-01,2017-09,77
2017-01,2017-10,80
2017-01,2017-11,78
2017-01,2017-12,64
2017-01,2018-01,71
2017-01,2018-02,66
2017-01,2018-03,69
2017-01,2018-04,66
2017-01,2018-05,56
2017-01,2018-06,56
2017-01,2018-07,50
2017-01,2018-08,57
2017-02,2017-02,214
2017-02,2017-03,135
2017-02,2017-04,120
2017-02,2017-05,124
2017-02,2017-06,100
2017-02,2017-07,111
2017-02,2017-08,111
2017-02,2017-09,98
2017-02,2017-10,95
2017-02,2017-11,91
2017-02,2017-12,98
2017-02,2018-01,83
2017-02,2018-02,82
2017-02,2018-03,81
2017-02,2018-04,87
2017-02,2018-05,69
2017-02,2018-06,71
2017-02,2018-07,65
2017-02,2018-08,57
2017-03,2017-03,161
2017-03,2017-04,97
2017-03,2017-05,91
2017-03,2017-06,85
2017-03,2017-07,79
2017-03,2017-08,80
2017-03,2017-09,75
2017-03,2017-10,69
2017-03,2017-11,80
2017-03,2017-12,62
2017-03,2018-01,65
2017-03,2018-02,56
2017-03,2018-03,55
2017-03,2018-04,52
2017-03,2018-05,50
2017-03,2018-06,51
2017-03,2018-07,43
2017-03,2018-08,46
2017-04,2017-04,111
2017-04,2017-05,61
2017-04,2017-06,49
2017-04,2017-07,57
2017-04,2017-08,53
2017-04,2017-09,51
2017-04,2017-10,42
2017-04,2017-11,50
2017-04,2017-12,43
2017-04,2018-01,43
2017-04,2018-02,35
2017-04,2018-03,39
2017-04,2018-04,35
2017-04,2018-05,33
2017-04,2018-06,28
2017-04,2018-07,30
2017-04,2018-08,26
2017-05,2017-05,114
2017-05,2017-06,64
2017-05,2017-07,61
2017-05,2017-08,63
2017-05,2017-09,58
2017-05,2017-10,56
2017-05,2017-11,55
2017-05,2017-12,48
2017-05,2018-01,52
2017-05,2018-02,53
2017-05,2018-03,46
2017-05,2018-04,41
2017-05,2018-05,36
2017-05,2018-06,29
2017-05,2018-07,35
2017-05,2018-08,27
2017-06,2017-06,70
2017-06,2017-07,30
2017-06,2017-08,28
2017-06,2017-09,33
2017-06,2017-10,23
2017-06,2017-11,27
2017-06,2017-12,27
2017-06,2018-01,24
2017-06,2018-02,18
2017-06,2018-03,21
2017-06,2018-04,21
2017-06,2018-05,17
2017-06,2018-06,15
2017-06,2018-07,17
2017-06,2018-08,16
2017-07,2017-07,113
2017-07,2017-08,77
2017-07,2017-09,69
2017-07,2017-10,70
2017-07,2017-11,76
2017-07,2017-12,69
2017-07,2018-01,64
2017-07,2018-02,60
2017-07,2018-03,60
2017-07,2018-04,59
2017-07,2018-05,58
2017-07,2018-06,57
2017-07,2018-07,50
2017-07,2018-08,55
2017-08,2017-08,120
2017-08,2017-09,66
2017-08,2017-10,57
2017-08,2017-11,69
2017-08,2017-12,55
2017-08,2018-01,57
2017-08,2018-02,62
2017-08,2018-03,55
2017-08,2018-04,50
2017-08,2018-05,49
2017-08,2018-06,49
2017-08,2018-07,40
2017-08,2018-08,42
2017-09,2017-09,124
2017-09,2017-10,66
2017-09,2017-11,66
2017-09,2017-12,58
2017-09,2018-01,63
2017-09,2018-02,49
2017-09,2018-03,58
2017-09,2018-04,53
2017-09,2018-05,53
2017-09,2018-06,43
2017-09,2018-07,40
2017-09,2018-08,42
2017-10,2017-10,141
2017-10,2017-11,97
2017-10,2017-12,79
2017-10,2018-01,83
2017-10,2018-02,67
2017-10,2018-03,71
2017-10,2018-04,69
2017-10,2018-05,67
2017-10,2018-06,56
2017-10,2018-07,61
2017-10,2018-08,48
2017-11,2017-11,185
2017-11,2017-12,98
2017-11,2018-01,103
2017-11,2018-02,82
2017-11,2018-03,87
2017-11,2018-04,80
2017-11,2018-05,70
2017-11,2018-06,70
2017-11,2018-07,77
2017-11,2018-08,63
2017-12,2017-12,84
2017-12,2018-01,51
2017-12,2018-02,46
2017-12,2018-03,46
2017-12,2018-04,41
2017-12,2018-05,37
2017-12,2018-06,33
2017-12,2018-07,31
2017-12,2018-08,31
2018-01,2018-01,138
2018-01,2018-02,80
2018-01,2018-03,70
2018-01,2018-04,80
2018-01,2018-05,63
2018-01,2018-06,65
2018-01,2018-07,56
2018-01,2018-08,51
2018-02,2018-02,117
2018-02,2018-03,63
2018-02,2018-04,61
2018-02,2018-05,53
2018-02,2018-06,50
2018-02,2018-07,57
2018-02,2018-08,50
2018-03,2018-03,108
2018-03,2018-04,67
2018-03,2018-05,59
2018-03,2018-06,58
2018-03,2018-07,49
2018-03,2018-08,48
2018-04,2018-04,195
2018-04,2018-05,121
2018-04,2018-06,105
2018-04,2018-07,104
2018-04,2018-08,94
2018-05,2018-05,172
2018-05,2018-06,98
2018-05,2018-07,99
2018-05,2018-08,95
2018-06,2018-06,189
2018-06,2018-07,107
2018-06,2018-08,114
2018-07,2018-07,184
2018-07,2018-08,104
2018-08,2018-08,152
