month,total_orders,total_revenue,prev_month_revenue,revenue_growth_pct
2016-09,1,13497,,
2016-10,265,4032511,13497,29777.09
2016-12,1,1090,4032511,-99.97
2017-01,750,11179836,1090,1025573.03
2017-02,1653,23422340,11179836,109.51
2017-03,2546,35919885,23422340,53.36
2017-04,2303,34066968,35919885,-5.16
2017-05,3546,48933825,34066968,43.64
2017-06,3135,42192337,48933825,-13.78
2017-07,3872,48160452,42192337,14.15
2017-08,4193,55469970,48160452,15.18
2017-09,4150,60739967,55469970,9.5
2017-10,4478,64824765,60739967,6.73
2017-11,7289,98776537,64824765,52.37
2017-12,5513,72603319,98776537,-26.5
2018-01,7069,92464500,72603319,27.36
2018-02,6555,82643713,92464500,-10.62
2018-03,7003,95335625,82643713,15.36
2018-04,6798,97353409,95335625,2.12
2018-05,6749,97754469,97353409,0.41
2018-06,6099,85607786,97754469,-12.43
2018-07,6159,86795346,85607786,1.39
2018-08,6351,83857664,86795346,-3.38
